KbhK,Kbh V,Kbh Ø,Kbh N,Kbh S,Kbh NV,Kbh SV,Valby,Vanløse,Brønshøj
1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020,1. kv 2020
50.808,48.627,47.419,43.460,38.109,34.282,41.861,35.610,33.516,29.172
-1.7 % ,3.9 % ,5.3 % ,0.7 % ,-0.4 % ,2.6 % ,6.5 % ,2 % ,-2.2 % ,-2.2 % 
2.9 % ,6.2 % ,4.8 % ,0.7 % ,1.1 % ,5.3 % ,10 % ,6.3 % ,-0.7 % ,-6.6 % 
592.2 % ,941.9 % ,694.3 % ,644.9 % ,606.8 % ,486.6 % ,722.9 % ,514 % ,420.7 % ,370.6 % 
4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019,4. kv 2019
51.669,46.798,45.039,43.164,38.261,33.407,39.303,34.916,34.278,29.817
2.1 % ,5.4 % ,2 % ,1.1 % ,-0.4 % ,-1.4 % ,1.9 % ,1.1 % ,0.8 % ,-0.7 % 
4.6 % ,4.1 % ,-0.5 % ,4.7 % ,2 % ,1.7 % ,-0.9 % ,2.6 % ,2.2 % ,-1.8 % 
603.9 % ,902.7 % ,654.4 % ,639.9 % ,609.6 % ,471.6 % ,672.6 % ,502 % ,432.5 % ,381 % 
3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019,3. kv 2019
50.605,44.389,44.141,42.698,38.414,33.878,38.566,34.534,34.013,30.023
-0.1 % ,-0.5 % ,-1.7 % ,0.8 % ,0.8 % ,0.6 % ,-0.5 % ,-0.5 % ,2.6 % ,2.4 % 
-0.3 % ,-5.3 % ,-2.7 % ,0 % ,0.4 % ,-2.5 % ,2.1 % ,-0.2 % ,1.1 % ,3 % 
589.4 % ,851.1 % ,639.4 % ,631.9 % ,612.4 % ,479.7 % ,658.1 % ,495.4 % ,428.4 % ,384.3 % 
2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019,2. kv 2019
50.656,44.612,44.904,42.359,38.109,33.676,38.760,34.708,33.151,29.319
2.6 % ,-2.5 % ,-0.7 % ,-1.9 % ,1.1 % ,3.5 % ,1.9 % ,3.6 % ,-1.8 % ,-6.2 % 
-1.4 % ,-4 % ,-2.5 % ,-2.3 % ,-1.3 % ,-3 % ,1.6 % ,4 % ,-3.7 % ,0.5 % 
590.1 % ,855.9 % ,652.2 % ,626.1 % ,606.8 % ,476.2 % ,661.9 % ,498.4 % ,415 % ,373 % 
1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019,1. kv 2019
49.354,45.770,45.241,43.162,37.705,32.547,38.045,33.498,33.767,31.241
-0.1 % ,1.8 % ,-0.1 % ,4.7 % ,0.5 % ,-0.9 % ,-4.1 % ,-1.6 % ,0.7 % ,2.9 % 
-4.9 % ,-1.7 % ,-0.4 % ,0.4 % ,-1.3 % ,-5.2 % ,-1.8 % ,-4.1 % ,0.1 % ,5 % 
572.4 % ,880.7 % ,657.8 % ,639.8 % ,599.3 % ,456.9 % ,647.9 % ,477.6 % ,424.6 % ,404 % 
4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018,4. kv 2018
49.387,44.945,45.286,41.225,37.524,32.841,39.667,34.040,33.531,30.349
-2.7 % ,-4.1 % ,-0.1 % ,-3.4 % ,-2 % ,-5.5 % ,5 % ,-1.6 % ,-0.4 % ,4.1 % 
-1.7 % ,-0.6 % ,3.2 % ,-4.1 % ,4 % ,-2 % ,7.1 % ,1.5 % ,3 % ,7.7 % 
572.8 % ,863 % ,658.6 % ,606.6 % ,595.9 % ,462 % ,679.8 % ,486.9 % ,420.9 % ,389.6 % 
3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018,3. kv 2018
50.737,46.880,45.346,42.685,38.278,34.750,37.791,34.593,33.651,29.160
-1.3 % ,0.9 % ,-1.5 % ,-1.6 % ,-0.9 % ,0.1 % ,-0.9 % ,3.6 % ,-2.2 % ,0 % 
1 % ,-0.2 % ,3.1 % ,0.6 % ,3.9 % ,5.7 % ,-0.1 % ,5 % ,3.8 % ,2.9 % 
591.2 % ,904.5 % ,659.6 % ,631.7 % ,609.9 % ,494.6 % ,642.9 % ,496.4 % ,422.8 % ,370.4 % 
2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018,2. kv 2018
51.389,46.459,46.053,43.367,38.613,34.725,38.137,33.386,34.421,29.173
-1 % ,-0.2 % ,1.4 % ,0.8 % ,1.1 % ,1.2 % ,-1.5 % ,-4.4 % ,2.1 % ,-2 % 
4 % ,10.4 % ,8 % ,4.9 % ,7 % ,8.9 % ,2.8 % ,4.4 % ,12 % ,5 % 
600.1 % ,895.5 % ,671.4 % ,643.3 % ,616.1 % ,494.2 % ,649.7 % ,475.6 % ,434.7 % ,370.6 % 
1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018,1. kv 2018
51.883,46.551,45.407,43.003,38.194,34.318,38.725,34.932,33.721,29.762
3.3 % ,3 % ,3.4 % ,0 % ,5.8 % ,2.4 % ,4.5 % ,4.2 % ,3.6 % ,5.6 % 
11.6 % ,13.1 % ,10.4 % ,11.6 % ,10.5 % ,13.8 % ,7.3 % ,12.5 % ,13.4 % ,13.2 % 
606.9 % ,897.5 % ,660.6 % ,637.1 % ,608.3 % ,487.2 % ,661.3 % ,502.3 % ,423.9 % ,380.1 % 
4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017,4. kv 2017
50.249,45.216,43.900,42.997,36.093,33.507,37.050,33.525,32.547,28.183
0 % ,-3.7 % ,-0.2 % ,1.3 % ,-2.1 % ,1.9 % ,-2.1 % ,1.7 % ,0.4 % ,-0.5 % 
10.4 % ,9.9 % ,8.7 % ,12.6 % ,8.5 % ,14.4 % ,6.5 % ,10.6 % ,13.4 % ,13.1 % 
584.6 % ,868.8 % ,635.3 % ,637 % ,569.4 % ,473.4 % ,628.3 % ,478 % ,405.6 % ,354.6 % 
3. kv 2017,3. kv 2017,3. kv 2017,3. kv 2017,3. kv 2017,3. kv 2017,3. kv 2017,3. kv 2017,3. kv 2017,3. kv 2017
50.236,46.974,43.995,42.428,36.851,32.883,37.845,32.957,32.405,28.332
1.6 % ,11.6 % ,3.2 % ,2.6 % ,2.1 % ,3.1 % ,2 % ,3 % ,5.4 % ,2 % 
9.2 % ,13 % ,12.7 % ,13.6 % ,11.5 % ,10.2 % ,11.6 % ,11.2 % ,10.6 % ,14.9 % 
584.4 % ,906.5 % ,636.9 % ,627.3 % ,583.4 % ,462.7 % ,644 % ,468.2 % ,403.4 % ,357 % 
2. kv 2017,2. kv 2017,2. kv 2017,2. kv 2017,2. kv 2017,2. kv 2017,2. kv 2017,2. kv 2017,2. kv 2017,2. kv 2017
49.422,42.084,42.622,41.359,36.100,31.885,37.093,31.988,30.731,27.787
6.3 % ,2.2 % ,3.6 % ,7.3 % ,4.5 % ,5.7 % ,2.8 % ,3 % ,3.4 % ,5.7 % 
12.2 % ,5.5 % ,7.7 % ,10.8 % ,12.3 % ,13.9 % ,10.5 % ,8.9 % ,10.4 % ,14.2 % 
573.3 % ,801.7 % ,613.9 % ,608.9 % ,569.5 % ,445.6 % ,629.2 % ,451.5 % ,377.4 % ,348.2 % 
1. kv 2017,1. kv 2017,1. kv 2017,1. kv 2017,1. kv 2017,1. kv 2017,1. kv 2017,1. kv 2017,1. kv 2017,1. kv 2017
46.494,41.168,41.137,38.542,34.560,30.169,36.076,31.058,29.726,26.286
2.2 % ,0.1 % ,1.8 % ,0.9 % ,3.9 % ,3 % ,3.7 % ,2.5 % ,3.6 % ,5.5 % 
10.9 % ,2.8 % ,7.4 % ,13.9 % ,12.5 % ,13 % ,10.9 % ,13.2 % ,10.3 % ,14.6 % 
533.4 % ,782.1 % ,589.1 % ,560.6 % ,540.9 % ,416.2 % ,609.2 % ,435.5 % ,361.8 % ,324 % 
4. kv 2016,4. kv 2016,4. kv 2016,4. kv 2016,4. kv 2016,4. kv 2016,4. kv 2016,4. kv 2016,4. kv 2016,4. kv 2016
45.508,41.130,40.402,38.188,33.256,29.295,34.803,30.309,28.701,24.912
-1.1 % ,-1.1 % ,3.5 % ,2.2 % ,0.7 % ,-1.8 % ,2.7 % ,2.2 % ,-2.1 % ,1 % 
6.9 % ,9.1 % ,6.5 % ,12.7 % ,10.3 % ,11.8 % ,9.9 % ,9.2 % ,12.9 % ,7.7 % 
520 % ,781.3 % ,576.8 % ,554.6 % ,516.8 % ,401.3 % ,584.2 % ,422.6 % ,345.9 % ,301.9 % 
3. kv 2016,3. kv 2016,3. kv 2016,3. kv 2016,3. kv 2016,3. kv 2016,3. kv 2016,3. kv 2016,3. kv 2016,3. kv 2016
46.008,41.573,39.021,37.364,33.041,29.833,33.903,29.650,29.311,24.660
4.5 % ,4.2 % ,-1.4 % ,0.1 % ,2.8 % ,6.6 % ,1 % ,1 % ,5.3 % ,1.4 % 
9.3 % ,7.2 % ,4.7 % ,8.7 % ,11.6 % ,15.7 % ,10.4 % ,10 % ,13.8 % ,10.6 % 
526.8 % ,790.8 % ,553.6 % ,540.5 % ,512.8 % ,410.5 % ,566.5 % ,411.2 % ,355.4 % ,297.8 % 
2. kv 2016,2. kv 2016,2. kv 2016,2. kv 2016,2. kv 2016,2. kv 2016,2. kv 2016,2. kv 2016,2. kv 2016,2. kv 2016
44.033,39.879,39.587,37.329,32.133,27.987,33.571,29.361,27.847,24.327
5 % ,-0.4 % ,3.4 % ,10.3 % ,4.6 % ,4.8 % ,3.2 % ,7 % ,3.3 % ,6 % 
4.9 % ,7.7 % ,8.3 % ,9.3 % ,11.3 % ,8 % ,9.2 % ,12.3 % ,12.9 % ,16.3 % 
499.9 % ,754.5 % ,563.1 % ,539.9 % ,495.9 % ,378.9 % ,559.9 % ,406.2 % ,332.6 % ,292.4 % 
1. kv 2016,1. kv 2016,1. kv 2016,1. kv 2016,1. kv 2016,1. kv 2016,1. kv 2016,1. kv 2016,1. kv 2016,1. kv 2016
41.922,40.058,38.292,33.840,30.713,26.698,32.544,27.436,26.950,22.944
-1.5 % ,6.3 % ,1 % ,-0.1 % ,1.9 % ,1.9 % ,2.8 % ,-1.2 % ,6 % ,-0.8 % 
5.4 % ,14.3 % ,11.8 % ,10.8 % ,10.9 % ,14.4 % ,11.8 % ,11 % ,16.2 % ,15.7 % 
471.1 % ,758.3 % ,541.4 % ,480 % ,469.6 % ,356.8 % ,539.7 % ,373 % ,318.7 % ,270.1 % 
4. kv 2015,4. kv 2015,4. kv 2015,4. kv 2015,4. kv 2015,4. kv 2015,4. kv 2015,4. kv 2015,4. kv 2015,4. kv 2015
42.559,37.700,37.920,33.876,30.154,26.197,31.670,27.758,25.432,23.138
1.1 % ,-2.8 % ,1.8 % ,-1.4 % ,1.8 % ,1.6 % ,3.1 % ,3 % ,-1.2 % ,3.7 % 
15 % ,12.7 % ,15.3 % ,20.1 % ,14.4 % ,22.8 % ,14.7 % ,16.9 % ,16 % ,21 % 
479.8 % ,707.8 % ,535.2 % ,480.7 % ,459.2 % ,348.3 % ,522.6 % ,378.6 % ,295.1 % ,273.3 % 
3. kv 2015,3. kv 2015,3. kv 2015,3. kv 2015,3. kv 2015,3. kv 2015,3. kv 2015,3. kv 2015,3. kv 2015,3. kv 2015
42.101,38.794,37.265,34.374,29.614,25.790,30.709,26.952,25.751,22.306
0.3 % ,4.8 % ,1.9 % ,0.6 % ,2.6 % ,-0.5 % ,-0.1 % ,3.1 % ,4.4 % ,6.6 % 
15 % ,16.8 % ,16.3 % ,16.8 % ,13.3 % ,24.1 % ,10.9 % ,15.2 % ,19.5 % ,19.8 % 
473.6 % ,731.2 % ,524.2 % ,489.2 % ,449.2 % ,341.3 % ,503.7 % ,364.7 % ,300 % ,259.8 % 
2. kv 2015,2. kv 2015,2. kv 2015,2. kv 2015,2. kv 2015,2. kv 2015,2. kv 2015,2. kv 2015,2. kv 2015,2. kv 2015
41.970,37.022,36.569,34.159,28.864,25.918,30.738,26.143,24.675,20.920
5.5 % ,5.6 % ,6.8 % ,11.9 % ,4.3 % ,11.1 % ,5.6 % ,5.7 % ,6.4 % ,5.5 % 
14.3 % ,17.6 % ,15.9 % ,19.4 % ,10.7 % ,22.8 % ,22.1 % ,13.8 % ,13.6 % ,14.9 % 
471.8 % ,693.3 % ,512.5 % ,485.5 % ,435.3 % ,343.5 % ,504.2 % ,350.7 % ,283.3 % ,237.5 % 
1. kv 2015,1. kv 2015,1. kv 2015,1. kv 2015,1. kv 2015,1. kv 2015,1. kv 2015,1. kv 2015,1. kv 2015,1. kv 2015
39.780,35.051,34.253,30.528,27.684,23.331,29.115,24.727,23.187,19.826
7.5 % ,4.8 % ,4.1 % ,8.2 % ,5.1 % ,9.4 % ,5.5 % ,4.1 % ,5.8 % ,3.7 % 
12 % ,12.7 % ,12.2 % ,11.2 % ,10.1 % ,17.9 % ,8.7 % ,9.5 % ,15.9 % ,13.1 % 
442 % ,651 % ,473.8 % ,423.3 % ,413.4 % ,299.2 % ,472.3 % ,326.3 % ,260.2 % ,219.8 % 
4. kv 2014,4. kv 2014,4. kv 2014,4. kv 2014,4. kv 2014,4. kv 2014,4. kv 2014,4. kv 2014,4. kv 2014,4. kv 2014
37.006,33.451,32.891,28.216,26.348,21.335,27.605,23.752,21.917,19.119
1 % ,0.7 % ,2.7 % ,-4.2 % ,0.8 % ,2.7 % ,-0.3 % ,1.5 % ,1.7 % ,2.7 % 
8.4 % ,4.1 % ,9.1 % ,8 % ,6 % ,9.9 % ,7.8 % ,17.5 % ,3.8 % ,18.6 % 
404.2 % ,616.8 % ,450.9 % ,383.6 % ,388.6 % ,265.1 % ,442.7 % ,309.5 % ,240.5 % ,208.4 % 
3. kv 2014,3. kv 2014,3. kv 2014,3. kv 2014,3. kv 2014,3. kv 2014,3. kv 2014,3. kv 2014,3. kv 2014,3. kv 2014
36.622,33.219,32.029,29.441,26.139,20.781,27.695,23.392,21.547,18.624
-0.3 % ,5.5 % ,1.5 % ,2.9 % ,0.2 % ,-1.5 % ,10 % ,1.8 % ,-0.8 % ,2.3 % 
10.4 % ,9.3 % ,10.3 % ,16.8 % ,6.8 % ,5.8 % ,8.1 % ,8.3 % ,9 % ,10.6 % 
398.9 % ,611.8 % ,436.5 % ,404.6 % ,384.8 % ,255.6 % ,444.4 % ,303.3 % ,234.7 % ,200.4 % 
2. kv 2014,2. kv 2014,2. kv 2014,2. kv 2014,2. kv 2014,2. kv 2014,2. kv 2014,2. kv 2014,2. kv 2014,2. kv 2014
36.733,31.492,31.550,28.619,26.083,21.098,25.169,22.982,21.725,18.209
3.4 % ,1.3 % ,3.4 % ,4.3 % ,3.7 % ,6.6 % ,-6 % ,1.8 % ,8.6 % ,3.8 % 
8.5 % ,9.8 % ,8.3 % ,10.3 % ,7.7 % ,14.4 % ,2.8 % ,4.5 % ,5.7 % ,10.4 % 
400.4 % ,574.8 % ,428.5 % ,390.6 % ,383.7 % ,261 % ,394.8 % ,296.2 % ,237.5 % ,193.7 % 
1. kv 2014,1. kv 2014,1. kv 2014,1. kv 2014,1. kv 2014,1. kv 2014,1. kv 2014,1. kv 2014,1. kv 2014,1. kv 2014
35.510,31.090,30.522,27.446,25.141,19.783,26.778,22.578,20.003,17.534
4.1 % ,-3.3 % ,1.2 % ,5 % ,1.1 % ,1.9 % ,4.6 % ,11.7 % ,-5.2 % ,8.8 % 
8.7 % ,4.3 % ,11.1 % ,13.9 % ,9 % ,5.3 % ,22.6 % ,13.2 % ,5 % ,8.9 % 
383.8 % ,566.2 % ,411.3 % ,370.4 % ,366.3 % ,238.5 % ,426.4 % ,289.3 % ,210.8 % ,182.9 % 
4. kv 2013,4. kv 2013,4. kv 2013,4. kv 2013,4. kv 2013,4. kv 2013,4. kv 2013,4. kv 2013,4. kv 2013,4. kv 2013
34.124,32.141,30.159,26.128,24.865,19.408,25.602,20.206,21.107,16.121
2.8 % ,5.7 % ,3.9 % ,3.7 % ,1.6 % ,-1.2 % ,-0.1 % ,-6.5 % ,6.8 % ,-4.3 % 
15.3 % ,17.3 % ,13.1 % ,7 % ,15.8 % ,14.1 % ,0.1 % ,-1.7 % ,17 % ,5.5 % 
364.9 % ,588.7 % ,405.2 % ,347.9 % ,361.1 % ,232.1 % ,403.3 % ,248.4 % ,227.9 % ,160.1 % 
